date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,is_friendly,match_id,home_form_goals_scored_8,away_form_goals_scored_8,home_form_goals_conceded_8,away_form_goals_conceded_8,home_form_win_rate_8,away_form_win_rate_8,home_form_clean_sheet_rate_8,away_form_clean_sheet_rate_8
2010-01-23,Poland,Singapore,6.0,1.0,King's Cup,Nakhon Ratchasima,Thailand,True,False,34,3.0,0.45945945945945943,1.0,1.9189189189189189,1.0,0.0,0.0,0.0
2010-01-24,Angola,Ghana,0.0,1.0,African Cup of Nations,Luanda,Angola,False,False,35,1.7842565597667637,0.9999999999999999,1.1234207968901846,1.3783783783783783,0.3304178814382896,0.5405405405405405,0.7191448007774539,0.5405405405405405
2010-01-24,Ivory Coast,Algeria,2.0,3.0,African Cup of Nations,Cabinda,Angola,True,False,36,1.6216216216216215,0.3304178814382896,0.5405405405405405,0.8425655976676385,0.5405405405405405,0.3304178814382896,0.45945945945945943,0.7191448007774539
2010-01-25,Egypt,Cameroon,3.0,1.0,African Cup of Nations,Benguela,Angola,True,False,37,2.2808551992225463,1.7687074829931972,0.28085519922254615,1.719144800777454,1.0,0.3304178814382896,0.7191448007774539,0.0
2010-01-25,Zambia,Nigeria,0.0,0.0,African Cup of Nations,Lubango,Angola,True,False,38,1.719144800777454,1.7774538386783285,1.660835762876579,0.8425655976676385,0.38872691933916426,0.7191448007774539,0.0,0.7191448007774539
2010-01-28,Algeria,Egypt,0.0,4.0,African Cup of Nations,Benguela,Angola,True,False,39,1.1681638096732438,2.5065312046444124,1.205781979366885,0.5065312046444121,0.5405405405405406,1.0,0.4934687953555878,0.4934687953555878
2010-01-28,Ghana,Nigeria,1.0,0.0,African Cup of Nations,Luanda,Angola,True,False,40,1.0,1.219668144196446,0.8425655976676385,0.5781587102341819,0.7191448007774539,0.4934687953555878,0.7191448007774539,0.8072804299219394
2010-01-30,Nigeria,Algeria,1.0,0.0,African Cup of Nations,Benguela,Angola,True,False,41,0.8907952900413056,0.8531786491309968,0.6919045267711639,1.9592184448103325,0.3604092480210859,0.3947885085636379,0.5896043183047655,0.3604092480210859
2010-01-31,Ghana,Egypt,0.0,1.0,African Cup of Nations,Luanda,Angola,True,False,42,1.0,2.909232011136184,0.5781587102341819,0.36994949282164413,0.8072804299219394,1.0,0.8072804299219394,0.6300505071783559
2010-02-06,Japan,China PR,0.0,0.0,EAFF Championship,Tokyo,Japan,False,False,43,3.0,1.081081081081081,2.0,0.5405405405405405,1.0,0.5405405405405405,0.0,0.45945945945945943
2010-02-07,South Korea,Hong Kong,5.0,0.0,EAFF Championship,Tokyo,Japan,True,False,44,,0.0,,4.0,,0.0,,0.0
2010-02-10,China PR,South Korea,3.0,0.0,EAFF Championship,Tokyo,Japan,True,False,45,0.6608357628765792,5.0,0.3304178814382896,0.0,0.3304178814382896,1.0,0.6695821185617103,1.0
2010-02-11,Japan,Hong Kong,3.0,0.0,EAFF Championship,Tokyo,Japan,False,False,46,1.3783783783783783,0.0,0.9189189189189189,4.54054054054054,0.45945945945945943,0.0,0.5405405405405405,0.0
2010-02-14,Hong Kong,China PR,0.0,2.0,EAFF Championship,Tokyo,Japan,True,False,47,0.0,1.394892715647433,3.941690962099125,0.226728905974189,0.0,0.5405405405405406,0.0,0.773271094025811
2010-02-14,Japan,South Korea,1.0,3.0,EAFF Championship,Tokyo,Japan,False,False,48,2.0087463556851315,2.2972972972972974,0.5617103984450923,1.6216216216216215,0.6695821185617103,0.45945945945945943,0.7191448007774539,0.45945945945945943
2010-02-16,Sri Lanka,Myanmar,0.0,4.0,AFC Challenge Cup,Colombo,Sri Lanka,False,False,49,,,,,,,,
2010-02-16,Tajikistan,Bangladesh,1.0,2.0,AFC Challenge Cup,Colombo,Sri Lanka,True,False,50,,,,,,,,
2010-02-17,North Korea,Turkmenistan,1.0,1.0,AFC Challenge Cup,Colombo,Sri Lanka,True,False,51,,,,,,,,
2010-02-18,Bangladesh,Myanmar,1.0,2.0,AFC Challenge Cup,Colombo,Sri Lanka,True,False,52,2.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0
2010-02-18,Sri Lanka,Tajikistan,1.0,3.0,AFC Challenge Cup,Colombo,Sri Lanka,False,False,53,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0
2010-02-19,Kyrgyzstan,North Korea,0.0,4.0,AFC Challenge Cup,Colombo,Sri Lanka,True,False,54,,1.0,,1.0,,0.0,,0.0
2010-02-20,Sri Lanka,Bangladesh,3.0,0.0,AFC Challenge Cup,Colombo,Sri Lanka,False,False,55,0.5405405405405405,1.4594594594594592,3.459459459459459,1.5405405405405403,0.0,0.45945945945945943,0.0,0.0
2010-02-20,Tajikistan,Myanmar,3.0,0.0,AFC Challenge Cup,Colombo,Sri Lanka,True,False,56,2.0810810810810807,2.9189189189189184,1.4594594594594592,0.5405405405405405,0.5405405405405405,0.9999999999999999,0.0,0.45945945945945943
2010-02-21,Turkmenistan,Kyrgyzstan,1.0,0.0,AFC Challenge Cup,Colombo,Sri Lanka,True,False,57,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
2010-02-24,North Korea,Myanmar,5.0,0.0,AFC Challenge Cup,Colombo,Sri Lanka,True,False,58,2.621621621621621,1.7842565597667637,0.45945945945945943,1.4965986394557824,0.5405405405405405,0.6112730806608357,0.5405405405405405,0.28085519922254615
2010-02-24,Tajikistan,Turkmenistan,0.0,2.0,AFC Challenge Cup,Colombo,Sri Lanka,True,False,59,2.4382896015549074,0.9999999999999999,0.8921282798833818,0.45945945945945943,0.7191448007774539,0.5405405405405405,0.38872691933916426,0.5405405405405405
2010-02-25,Turkmenistan,North Korea,1.0,1.0,AFC Challenge Cup,Colombo,Sri Lanka,True,False,60,1.3887269193391643,3.5461613216715255,0.28085519922254615,0.28085519922254615,0.7191448007774539,0.7191448007774539,0.7191448007774539,0.7191448007774539
2010-02-27,Tajikistan,Myanmar,1.0,0.0,AFC Challenge Cup,Colombo,Sri Lanka,True,False,61,1.673125956144824,1.2243360922606206,1.2397913152630133,2.5960067469501436,0.4934687953555878,0.4194484760522496,0.2667398893813988,0.19271957007806062
2010-03-03,Australia,Indonesia,1.0,0.0,AFC Asian Cup qualification,Brisbane,Australia,False,False,62,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
2010-03-03,Hong Kong,Yemen,0.0,0.0,AFC Asian Cup qualification,So Kon Po,Hong Kong,False,False,63,0.0,2.5405405405405403,3.332365747460087,1.3783783783783783,0.0,0.5405405405405405,0.0,0.5405405405405405
2010-03-03,Iran,Thailand,1.0,0.0,AFC Asian Cup qualification,Tehran,Iran,False,False,64,3.0,0.7191448007774539,1.0,1.1661807580174928,1.0,0.3304178814382896,0.0,0.6112730806608357
2010-03-03,Japan,Bahrain,2.0,0.0,AFC Asian Cup qualification,Toyota,Japan,False,False,65,1.6921900129447298,1.8378378378378377,1.326874043855176,1.6216216216216215,0.45945945945945943,0.45945945945945943,0.4934687953555878,0.45945945945945943
2010-03-03,Jordan,Singapore,2.0,1.0,AFC Asian Cup qualification,Amman,Jordan,False,False,66,0.0,0.6695821185617103,0.0,3.5053449951409137,0.0,0.0,1.0,0.0
2010-03-03,Oman,Kuwait,0.0,0.0,AFC Asian Cup qualification,Muscat,Oman,False,False,67,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
2010-03-03,Syria,Lebanon,4.0,0.0,AFC Asian Cup qualification,Damascus,Syria,False,False,68,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2010-03-03,Uzbekistan,United Arab Emirates,0.0,1.0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False,False,69,,1.0,,0.0,,1.0,,1.0
2010-03-20,Alderney,Jersey,0.0,3.0,Muratti Vase,Alderney,Alderney,False,False,70,,,,,,,,
2010-05-08,Jersey,Guernsey,0.0,1.0,Muratti Vase,Jersey,Jersey,False,False,71,3.0,,0.0,,1.0,,1.0,
2010-05-19,Gabon,Togo,3.0,0.0,Corsica Cup,Ajaccio,France,True,False,72,0.6695821185617103,,0.7774538386783285,,0.28085519922254615,,0.6112730806608357,
2010-05-19,Corsica,Brittany,2.0,0.0,Corsica Cup,Ajaccio,France,False,False,73,,,,,,,,
2010-05-21,Brittany,Togo,2.0,1.0,Corsica Cup,Bastia,France,False,False,74,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
2010-05-21,Corsica,Gabon,1.0,1.0,Corsica Cup,Bastia,France,False,False,75,2.0,1.4008943631585142,0.0,0.5334797787627976,1.0,0.5065312046444121,1.0,0.7332601106186012
2010-05-31,Gozo,Padania,1.0,2.0,Viva World Cup,Xewkija,Malta,False,False,76,,,,,,,,
2010-05-31,Iraqi Kurdistan,Two Sicilies,4.0,1.0,Viva World Cup,Sannat,Malta,True,False,77,,,,,,,,
2010-06-01,Occitania,Padania,0.0,1.0,Viva World Cup,Xewkija,Malta,True,False,78,,2.0,,1.0,,1.0,,0.0
2010-06-01,Provence,Two Sicilies,0.0,1.0,Viva World Cup,Sannat,Malta,True,False,79,,1.0,,4.0,,0.0,,0.0
2010-06-02,Gozo,Occitania,0.0,5.0,Viva World Cup,Xewkija,Malta,False,False,80,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2010-06-02,Iraqi Kurdistan,Provence,3.0,2.0,Viva World Cup,Sannat,Malta,True,False,81,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-06-04,Iraqi Kurdistan,Occitania,2.0,1.0,Viva World Cup,Sannat,Malta,True,False,82,3.459459459459459,2.702702702702702,1.5405405405405403,0.45945945945945943,0.9999999999999999,0.5405405405405405,0.0,0.5405405405405405
2010-06-04,Padania,Two Sicilies,2.0,0.0,Viva World Cup,Xewkija,Malta,True,False,83,1.4594594594594592,0.9999999999999999,0.45945945945945943,1.8378378378378377,0.9999999999999999,0.5405405405405405,0.5405405405405405,0.5405405405405405
2010-06-04,Gozo,Provence,2.0,1.0,Viva World Cup,Xewkija,Malta,False,False,84,0.45945945945945943,1.081081081081081,3.621621621621621,2.0810810810810807,0.0,0.0,0.0,0.0
2010-06-05,Occitania,Two Sicilies,2.0,0.0,Viva World Cup,Sannat,Malta,True,False,85,2.0408163265306123,0.6112730806608357,1.0583090379008746,1.900874635568513,0.3304178814382896,0.3304178814382896,0.3304178814382896,0.3304178814382896
2010-06-05,Iraqi Kurdistan,Padania,0.0,1.0,Viva World Cup,Xewkija,Malta,True,False,86,2.892128279883382,1.6695821185617103,1.3304178814382897,0.28085519922254615,1.0,1.0,0.0,0.7191448007774539
2010-06-11,South Africa,Mexico,1.0,1.0,FIFA World Cup,Johannesburg,South Africa,False,False,87,,,,,,,,
2010-06-11,Uruguay,France,0.0,0.0,FIFA World Cup,Cape Town,South Africa,True,False,88,,,,,,,,
